Project ID,Title,Client,Year,Contract Value (Rs.)
project-76,Kahawatte - Ela - Bemmullegeadara Road,Road Development Authority,2014,
project-77,Sama Vihara Building Project (Havelock City),Mireka Capital Land,2014,
project-78,Kotamulla - Karangoda - Dimiyawa Road,Road Development Authority,2014,
project-79,Padawkema Udamaththala Bridge,Road Development Authority,2013,
project-80,Oluvil Port Project Coastal Protection,Sri Lanka Ports Authority,2012,
project-81,Colombo Port Expansion Project - 45m Control Tower,Sri Lanka Ports Authority,2012,
project-82,Ullukkulama - Elayapattuwa Road,Road Development Authority,2012,
project-83,SAGT Harbour Access Road,Hyundai Engineering,2010,
project-84,"Four Steel Bridges (Hirana, Molkawa, Lathpadura)",MCE Austria,2009,
project-85,Matara - Kamburugamuwa Hospital,Sam Hee Construction Korea,2009,
project-86,Matara Mahanama Bridge (116.4m),Road Development Authority,2007,
project-87,Three Storied Building at Sapugaskanda,Trelleborg Lanka,2007,
project-88,"Water Treatment Plant - Ampara (172,000 Cum/day)",NWSDB,2006,
project-89,Rock Revetment at Beruwala,Kundanmals group,2006,
project-90,Queen Elizabeth Quay Project - Colombo Harbour,Hyundai Engineering,2003,
